algo,seed_label,source,env_step,reward
td3,seed0,ours,155000,-115.57
td3,seed0,ours,156000,-115.5
td3,seed0,ours,157000,-115.45
td3,seed0,ours,158000,-115.21
td3,seed0,ours,159000,-115.36
td3,seed0,ours,160000,-115.43
td3,seed0,ours,161000,-115.28
td3,seed0,ours,162000,-115.18
td3,seed0,ours,163000,-115.18
td3,seed0,ours,164000,-115.03
td3,seed0,ours,165000,-114.93
td3,seed0,ours,166000,-114.84
td3,seed0,ours,167000,-114.76
td3,seed0,ours,168000,-114.7
td3,seed0,ours,169000,-114.56
td3,seed0,ours,170000,-114.43
td3,seed0,ours,171000,-114.37
td3,seed0,ours,172000,-114.04
td3,seed0,ours,173000,-113.95
td3,seed0,ours,174000,-112.52
td3,seed0,ours,175000,-112.18
td3,seed0,ours,176000,-112.07
td3,seed0,ours,177000,-112.09
td3,seed0,ours,178000,-111.92
td3,seed0,ours,179000,-111.26
td3,seed0,ours,180000,-110.84
td3,seed0,ours,181000,-111.61
td3,seed0,ours,182000,-111.86
td3,seed0,ours,183000,-112.02
td3,seed0,ours,184000,-112.22
td3,seed0,ours,185000,-112.22
td3,seed0,ours,186000,-112.27
td3,seed0,ours,187000,-112.49
td3,seed0,ours,188000,-112.24
td3,seed0,ours,189000,-111.83
td3,seed0,ours,190000,-111.41
td3,seed0,ours,191000,-111.17
td3,seed0,ours,192000,-110.79
td3,seed0,ours,193000,-110.57
td3,seed0,ours,194000,-110.6
td3,seed0,ours,195000,-110.37
td3,seed0,ours,196000,-110.26
td3,seed0,ours,197000,-110.17
td3,seed0,ours,198000,-109.7
td3,seed0,ours,199000,-109.75
td3,seed0,ours,200000,-109.81
td3,seed0,ours,201000,-109.46
td3,seed0,ours,202000,-109.39
td3,seed0,ours,203000,-109.52
td3,seed0,ours,204000,-109.58
td3,seed0,ours,205000,-109.49
td3,seed0,ours,206000,-109.34
td3,seed0,ours,207000,-109.39
td3,seed0,ours,208000,-110.01
td3,seed0,ours,209000,-109.76
td3,seed0,ours,210000,-109.68
td3,seed0,ours,211000,-109.71
td3,seed0,ours,212000,-109.69
td3,seed0,ours,213000,-109.85
td3,seed0,ours,214000,-109.98
td3,seed0,ours,215000,-109.8
td3,seed0,ours,216000,-109.81
td3,seed0,ours,217000,-109.88
td3,seed0,ours,218000,-109.73
td3,seed0,ours,219000,-109.57
td3,seed0,ours,220000,-109.53
td3,seed0,ours,221000,-109.51
td3,seed0,ours,222000,-109.65
td3,seed0,ours,223000,-109.5
td3,seed0,ours,224000,-109.63
td3,seed0,ours,225000,-109.54
td3,seed0,ours,226000,-109.57
td3,seed0,ours,227000,-109.7
td3,seed0,ours,228000,-110.1
td3,seed0,ours,229000,-110.24
td3,seed0,ours,230000,-110.71
td3,seed0,ours,231000,-110.93
td3,seed0,ours,232000,-110.96
td3,seed0,ours,233000,-110.96
td3,seed0,ours,234000,-111.05
td3,seed0,ours,235000,-110.97
td3,seed0,ours,236000,-110.61
td3,seed0,ours,237000,-111.0
td3,seed0,ours,238000,-110.09
td3,seed0,ours,239000,-109.01
td3,seed0,ours,240000,-108.93
td3,seed0,ours,241000,-107.96
td3,seed0,ours,242000,-106.97
td3,seed0,ours,243000,-106.89
td3,seed0,ours,244000,-105.78
td3,seed0,ours,245000,-104.83
td3,seed0,ours,246000,-104.28
td3,seed0,ours,247000,-103.99
td3,seed0,ours,248000,-104.09
td3,seed0,ours,249000,-104.14
td3,seed0,ours,250000,-103.61
td3,seed0,ours,251000,-103.18
td3,seed0,ours,252000,-103.76
td3,seed0,ours,253000,-103.72
td3,seed0,ours,254000,-104.06
td3,seed0,ours,255000,-103.8
td3,seed0,ours,256000,-103.52
td3,seed0,ours,257000,-103.36
td3,seed0,ours,258000,-103.39
td3,seed0,ours,259000,-103.74
td3,seed0,ours,260000,-104.22
td3,seed0,ours,261000,-103.89
td3,seed0,ours,262000,-103.97
td3,seed0,ours,263000,-104.08
td3,seed0,ours,264000,-104.12
td3,seed0,ours,265000,-104.2
td3,seed0,ours,266000,-104.41
td3,seed0,ours,267000,-104.59
td3,seed0,ours,268000,-104.77
td3,seed0,ours,269000,-104.56
td3,seed0,ours,270000,-104.79
td3,seed0,ours,271000,-104.88
td3,seed0,ours,272000,-105.24
td3,seed0,ours,273000,-105.05
td3,seed0,ours,274000,-104.84
td3,seed0,ours,275000,-104.87
td3,seed0,ours,276000,-104.93
td3,seed0,ours,277000,-104.7
td3,seed0,ours,278000,-104.33
td3,seed0,ours,279000,-103.37
td3,seed0,ours,280000,-102.46
